"gid","gid-2","dist"
1,3286,"631.53095577174"
2,3653,"758.3630218308974"
3,3653,"941.4297126212169"
4,3653,"986.9175110104331"
5,2932,"47.13927169184697"
6,3538,"823.313984013799"
7,3003,"344.938591230681"
8,4076,"1999.7752456109556"
9,3985,"1704.0754146478075"
10,4082,"571.4974243769512"
11,4082,"275.57669531975137"
12,3099,"5532.864934073199"
13,3766,"3561.229767330576"
14,3766,"4251.8409881845155"
15,3355,"1281.4592425575995"
16,3286,"521.0463937660804"
17,3318,"4093.0400489351027"
18,3003,"612.8288099762766"
19,3355,"1076.8528220432618"
20,3130,"759.6690976618917"
21,2828,"2570.6601129277215"
22,3426,"6645.335905046061"
23,3985,"564.1053933281526"
24,3213,"642.6728996715372"
25,3213,"491.7080027206222"
26,3215,"361.099406238516"
27,3215,"521.4608966520257"
28,3286,"510.02152722480304"
29,3286,"547.4790409128123"
30,3286,"1701.0304612351981"
31,3493,"370.44327293192424"
32,4082,"4543.701923958128"
33,2697,"1142.2220102346778"
34,4356,"5196.87614172627"
35,4356,"5550.070710027983"
36,4356,"6203.6167342296885"
37,2757,"732.951998601086"
38,3656,"1413.0524357079291"
39,4081,"46.306060817272936"
40,3874,"1516.3111706233465"
41,4361,"750.0382995379872"
42,2620,"886.573618855983"
43,3499,"719.878863978257"
44,4182,"2187.0895536719077"
45,2916,"800.5444988157446"
46,3137,"2351.6199641007697"
47,4358,"4311.652744905829"
48,3406,"1470.158116481118"
49,3730,"8384.622651733896"
50,3355,"1258.0971120244233"
51,3611,"699.6400342332562"
52,3611,"694.8766488783083"
53,3611,"787.0187024355197"
54,3611,"991.888239607692"
55,3985,"300.8197364153868"
56,3985,"432.2715627860168"
57,3611,"659.2933494064913"
58,3611,"598.6773063260608"
59,3985,"322.81739413981745"
60,3985,"309.030665446204"
61,3985,"334.01580546730315"
62,3751,"878.9242947529235"
63,3751,"633.1678499274072"
64,3751,"516.0303550122298"
65,3751,"404.8877139410909"
66,3751,"707.5889601223837"
67,3751,"939.9880325022939"
68,3235,"2013.5852963343173"
69,3235,"1653.2502174587048"
70,2933,"6057.429272903718"
71,3751,"231.33554022689597"
72,3751,"322.38739334184845"
73,3751,"210.60118567511577"
74,3751,"269.1504560491758"
75,3751,"419.7137573082399"
76,3751,"470.58675166206064"
77,3751,"679.9495559621014"
78,3751,"132.4804755817533"
79,3406,"1787.812574367762"
80,3985,"341.1504274357547"
81,3985,"555.1575637087168"
82,4358,"5001.507422474523"
83,2943,"114.20168285795123"
84,3729,"54.398224075168734"
85,4129,"523.4307435310891"
86,3167,"178.90995487963454"
87,2855,"3037.090192415637"
88,4355,"954.5574189672578"
89,4004,"582.743811703828"
90,3882,"1539.3207808724903"
91,2828,"2008.8617363041924"
92,2826,"19.036291446673623"
93,2828,"5871.609432026882"
94,3331,"3202.8801938236647"
95,3331,"759.7647874886874"
96,3331,"1869.2484393290065"
97,3322,"3210.812542480706"
98,4082,"2892.941758408946"
99,4082,"3362.301733954746"
100,3406,"1453.3815016753006"
101,4184,"785.122337845493"
102,3213,"788.4669133461807"
103,3330,"204.29394564650664"
