"gid","precip"
1,"979"
2,"821"
3,"828"
4,"828"
5,"864"
6,"960"
7,"928"
8,"1139"
9,"950"
10,"1266"
11,"1266"
12,"1001"
13,"886"
14,"872"
15,"886"
16,"996"
17,"872"
18,"928"
19,"928"
20,"1155"
21,"1145"
22,"913"
23,"908"
24,"930"
25,"930"
26,"867"
27,"876"
28,"996"
29,"996"
30,"996"
31,"908"
32,"1284"
33,"838"
34,"862"
35,"880"
36,"880"
37,"913"
38,"937"
39,"1139"
40,"1032"
41,"1033"
42,"920"
43,"915"
44,"1313"
45,"1026"
46,"1134"
47,"1055"
48,"833"
49,"1158"
50,"886"
51,"955"
52,"955"
53,"955"
54,"955"
55,"899"
56,"899"
57,"955"
58,"955"
59,"899"
60,"899"
61,"899"
62,"852"
63,"852"
64,"852"
65,"852"
66,"852"
67,"852"
68,"917"
69,"917"
70,"931"
71,"852"
72,"852"
73,"852"
74,"852"
75,"852"
76,"852"
77,"852"
78,"852"
79,"839"
80,"899"
81,"899"
82,"1026"
83,"1037"
84,"1001"
85,"1082"
86,"1279"
87,"1134"
88,"1247"
89,"1106"
90,"1111"
91,"1145"
92,"1135"
93,"1157"
94,"1026"
95,"1029"
96,"1026"
97,"1052"
98,"1254"
99,"1284"
100,"833"
101,"857"
102,"930"
103,"867"
104,"908"
105,"976"
106,"1169"
107,"1017"
108,"984"
109,"848"
110,"992"
111,"1026"
112,"1074"
113,"1023"
114,"1313"
115,"1313"
116,"1313"
117,"1151"
118,"1278"
119,"915"
120,"915"
121,"1324"
122,"923"
123,"923"
124,"1313"
125,"892"
126,"908"
127,"899"
128,"955"
129,"955"
130,"862"
131,"1147"
132,"1147"
133,"1074"
134,"1125"
135,"1119"
136,"1158"
137,"1158"
138,"1216"
139,"1115"
140,"828"
141,"821"
142,"828"
143,"1198"
144,"1198"
145,"1144"
146,"1188"
147,"992"
148,"1198"
149,"1101"
150,"1198"
151,"1188"
152,"1198"
153,"1007"
154,"1007"
155,"1007"
156,"1007"
157,"1007"
158,"1007"
196,"1147"
159,"1007"
160,"1007"
161,"1007"
162,"1007"
163,"1007"
164,"1007"
165,"1007"
166,"1246"
167,"1007"
168,"1007"
169,"1007"
170,"1007"
171,"1007"
172,"1007"
173,"1007"
174,"1001"
175,"993"
176,"1001"
177,"1007"
178,"1007"
179,"892"
180,"1167"
181,"1185"
182,"1198"
183,"1028"
184,"1028"
185,"1082"
186,"1102"
187,"1102"
188,"1082"
189,"1082"
190,"1082"
191,"1082"
192,"1082"
193,"1082"
194,"920"
195,"1278"
197,"1205"
198,"1264"
199,"968"
200,"968"
201,"968"
202,"968"
203,"968"
204,"975"
205,"975"
206,"1033"
207,"1055"
208,"1055"
209,"1033"
210,"1007"
211,"1015"
212,"1052"
213,"1060"
214,"1053"
215,"1041"
216,"1055"
217,"971"
218,"992"
219,"1007"
220,"1001"
221,"993"
222,"993"
223,"993"
224,"993"
225,"977"
226,"977"
227,"977"
228,"864"
229,"864"
230,"864"
231,"1240"
232,"1036"
233,"1102"
234,"1240"
235,"1240"
236,"959"
237,"959"
238,"959"
239,"959"
240,"1240"
241,"1240"
242,"1240"
243,"854"
244,"885"
245,"1072"
246,"1072"
247,"1092"
248,"1057"
249,"1092"
250,"1090"
251,"1090"
252,"1074"
253,"1090"
254,"1279"
255,"1135"
256,"1014"
257,"1031"
258,"1007"
259,"1155"
260,"1155"
261,"975"
262,"1018"
263,"1168"
264,"1155"
265,"1155"
266,"1155"
267,"1155"
268,"1155"
269,"1155"
270,"1264"
271,"1155"
272,"920"
273,"920"
274,"920"
275,"983"
276,"873"
277,"1081"
278,"1055"
279,"997"
280,"1155"
281,"1145"
282,"1091"
283,"1091"
284,"1145"
285,"1007"
286,"1024"
287,"1201"
288,"1007"
289,"1021"
290,"1036"
291,"1048"
292,"1019"
293,"1032"
294,"1048"
295,"873"
296,"873"
297,"873"
298,"1279"
299,"1010"
300,"1032"
301,"1017"
302,"1032"
303,"1031"
304,"976"
305,"997"
306,"1007"
307,"1032"
308,"1157"
309,"1157"
310,"1041"
311,"875"
312,"876"
313,"955"
314,"1035"
315,"1048"
316,"1048"
317,"1008"
318,"1078"
319,"1145"
320,"901"
321,"979"
322,"979"
323,"979"
324,"979"
325,"979"
326,"971"
327,"979"
328,"979"
329,"972"
330,"864"
331,"864"
332,"864"
333,"1090"
334,"997"
335,"1115"
336,"1155"
337,"1279"
338,"1284"
339,"1290"
340,"1254"
341,"1290"
342,"1290"
343,"1072"
344,"1072"
345,"1084"
346,"1007"
347,"1007"
348,"1007"
349,"862"
350,"864"
351,"879"
352,"848"
353,"837"
354,"954"
